time,voltage
1573672945.43707,3.3881554
1573672946.8369129,3.3881617
1573672948.2033,3.3881693
1573672949.5716991,3.3881731
1573672950.9393487,3.1447599
1573672952.304622,3.0361166
1573672953.6715698,2.9673233
1573672955.0401611,2.9157182
1573672956.408345,2.8729628
1573672957.775618,2.8353242
1573672959.144024,2.8009722
1573672960.5114102,2.7689365
1573672961.878539,2.7385834
1573672963.2453856,2.7094932
1573672964.6335914,2.6809336
1573672966.0012596,2.6536122
1573672967.367184,2.6269497
1573672968.7345493,2.6007843
1573672970.1024518,2.5750204
1573672971.4701626,2.5496819
1573672972.8399122,2.5246564
1573672974.2070084,2.4999638
1573672975.5747578,2.4755101
1573672976.9422195,2.4229247
1573672978.3134854,2.3996674
1573672979.684159,2.3766766
1573672981.0500324,2.3248132
1573672982.4156778,2.3312226
1573672983.783594,2.3093261
1573672985.1503413,2.2599653
1573672986.5183616,2.2406576
1573672987.884042,2.2532013
1573672989.249126,2.2415866
1573672990.614151,2.2052026
1573672991.9798403,2.2157028
1573672993.3455389,2.2216604
1573672994.7127512,2.2170445
1573672996.0806253,2.1848784
1573672997.4453607,2.1805554
1573672998.813799,2.2045425
1573673000.1805935,2.2007454
1573673001.5474591,2.197123
1573673002.951068,2.1931584
1573673004.3171875,2.1615519
1573673005.6856487,2.1854856
1573673007.0527964,2.1817318
1573673008.4210835,2.1779755
1573673009.790022,2.146451
1573673011.1572807,2.1423918
1573673012.5248232,2.16602
1573673013.890229,2.1619267
1573673015.2554336,2.1578221
1573673016.6234035,2.1258887
1573673017.988229,2.1489337
1573673019.35683,2.1443873
1573673020.7314537,2.1397097
1573673022.1284273,2.1347732
1573673023.4944038,2.1299466
1573673024.8620758,2.0972924
1573673026.2322383,2.1025608
1573673027.5994225,2.0824817
1573673028.9673395,1.9979351
1573673030.3344333,2.0248399
1573673031.7014227,0.72941365
1573673033.1463418,0.019792868
1573673034.5771117,0.001024522
1573673036.0240374,0.000432694
1573673037.47115,0.000371318
1573673038.9600453,0.000344989
1573673040.4063725,0.000324026
1573673041.8514757,0.000308468
1573673043.2965622,0.00030033
1573673044.7429276,0.000293023
1573673046.1891632,0.000283852
1573673047.6358094,0.000279581
1573673049.0836928,0.000278586
1573673050.5297055,0.000274353
1573673051.9759502,-0.09744396
1573673053.384257,-0.002432864
1573673054.830653,-0.000161868
1573673056.2749164,-6.8834e-05
1573673057.7218,-6.0003e-05
1573673059.1667895,-4.9169e-05
1573673060.6148112,-3.7466e-05
1573673062.0617523,-3.5072e-05
1573673063.50863,-3.6256e-05
1573673064.95585,-3.5425e-05
1573673066.4012501,-4.1106e-05
1573673067.848922,-3.1482e-05
1573673069.2958777,-3.162e-05
1573673070.7423918,-3.3712e-05
1573673072.1890311,-1.9438e-05
1573673073.6363585,-3.6861e-05
1573673075.083331,-4.4357e-05
1573673076.5300748,-3.3447e-05
1573673077.9771242,-3.962e-05
1573673079.4413683,-3.1356e-05
1573673080.8883383,-4.2883e-05
1573673082.3343067,-3.5248e-05
1573673083.7812793,-3.1016e-05
1573673085.2262177,-1.993e-05
1573673086.6729524,-3.1356e-05
1573673088.1204088,-3.1482e-05
1573673089.5676954,-3.2704e-05
1573673091.013781,-3.7907e-05
1573673092.4616294,-2.2424e-05
1573673093.908275,-3.4795e-05
1573673095.3529506,3.0864e-05
1573673096.8004162,-7.433e-06
1573673098.2463205,-3.0474e-05
1573673099.6935723,-1.513e-05
1573673101.1394615,-5.467e-06
1573673102.585683,-3.5488e-05
1573673104.0304537,0.000162574
1573673105.476946,9.4559e-05
