time,Voltage (V)
1574182412.7106097,3.5985824
1574182414.1020408,3.5985811
1574182415.4672062,3.5985798
1574182416.8338432,3.5985798
1574182418.201925,3.5433623
1574182419.569568,3.3426242
1574182420.9350488,3.2692113
1574182422.3016884,3.2071957
1574182423.6685555,3.1649564
1574182425.0385275,3.1413532
1574182426.4057617,3.1284776
1574182427.7726815,3.1201913
1574182429.1636264,3.1136797
1574182430.5354433,3.1081601
1574182431.9028618,3.1031909
1574182433.2678852,3.0986356
1574182434.6335502,3.0943922
1574182436.000567,3.0903847
1574182437.3663964,3.0866133
1574182438.7626631,3.0829378
1574182440.1337333,3.0795008
1574182441.4988601,3.0762456
1574182442.8679018,3.073128
1574182444.236054,3.0701341
1574182445.6016488,3.0672487
1574182446.9670198,3.0644656
1574182448.3317914,3.0617847
1574182449.699104,3.0591922
1574182451.0649471,3.0566993
1574182452.4313414,3.0542734
1574182453.8001525,3.0519232
1574182455.192501,3.0496045
1574182456.5592623,3.0473856
1574182457.9269128,3.0452462
1574182459.29296,3.0431611
1574182460.6885169,3.0410822
1574182462.0543664,3.0390916
1574182463.4208946,3.0371503
1574182464.7890153,3.0352457
1574182466.182964,3.0333688
1574182467.5490222,3.0315651
1574182468.9170272,3.0298043
1574182470.2852004,3.0280815
1574182471.6500785,3.0264154
1574182473.0181425,3.0247594
1574182474.3836505,3.0231349
1574182475.7501607,3.0215585
1574182477.1572561,3.0199681
1574182478.5248728,3.0184661
1574182479.9191818,3.0169616
1574182481.2857637,3.0154987
1574182482.6756525,3.0140396
1574182484.0414498,3.0126385
1574182485.4074628,3.0112678
1574182486.7746253,3.0099261
1574182488.1662908,3.0085844
1574182489.534369,3.0072881
1574182490.901294,3.0059767
1574182492.2672853,3.0047082
1574182493.6622112,3.0034157
1574182495.0295897,3.0021977
1574182496.3973398,3.0009936
1574182497.7666347,2.9997995
1574182499.159038,2.9985954
1574182500.5494215,2.9974228
1574182501.9171193,2.9962831
1574182503.2833815,2.9951458
1574182504.6486185,2.9940338
1574182506.0149393,2.9929559
1574182507.383005,2.9918629
1574182508.7505038,2.9907875
1574182510.1487865,2.9896894
1574182511.5161293,2.9886405
1574182512.883615,2.9875904
1574182514.2497182,2.9865566
1574182515.6170037,2.9855582
1574182516.9849954,2.9845548
1574182518.3506389,2.9835703
1574182519.7418737,2.9825719
1574182521.109342,2.9815811
1574182522.4759834,2.9806029
1574182523.8445961,2.9796575
1574182525.2109609,2.9787096
1574182526.608305,2.9777554
1574182528.002738,2.9768087
1574182529.3699195,2.9758987
1574182530.737842,2.9749785
1574182532.131784,2.9740735
1574182533.4974716,2.9731824
1574182534.8653567,2.9722976
1574182536.2479837,2.971428
1574182537.6134772,2.9705508
1574182538.9818194,2.9696887
1574182540.347092,2.9688241
1574182541.714781,2.967957
1574182543.0833492,2.9671138
1574182544.4510117,2.9662682
1574182545.818394,2.9654338
1574182547.186914,2.9646058
1574182548.5522254,2.9637867
1574182549.9425726,2.9629637
1574182551.3091478,2.9621622
1574182552.6781414,2.9613721
1574182554.046202,2.960563
1574182555.4159698,2.9597843
1574182556.783264,2.9589954
1574182558.1739945,2.9582053
1574182559.544002,2.957424
1574182560.911364,2.9566616
1574182562.2768474,2.9558854
1574182563.6765947,2.9550965
1574182565.0450733,2.9543468
1574182566.412746,2.9535958
1574182567.7817495,2.9528397
1574182569.1493754,2.9521064
1574182570.517294,2.951349
1574182571.8841076,2.9506107
1574182573.2504325,2.9498874
1574182574.6202822,2.9491301
1574182575.98855,2.948398
1574182577.3555825,2.9476723
1574182578.7222686,2.9469516
1574182580.088576,2.9462296
1574182581.454285,2.9455341
1574182582.822081,2.944826
1574182584.18996,2.9441192
1574182585.555525,2.9434048
1574182586.922028,2.9427093
1574182588.2881541,2.9420189
1574182589.6534457,2.9413247
1574182591.021534,2.9406394
1574182592.3877177,2.9399641
1574182593.7537098,2.9392863
1574182595.1186645,2.9386161
1574182596.485989,2.9379332
1574182597.8533945,2.9372415
1574182599.2460537,2.9365801
1574182600.611645,2.9358994
1574182601.979726,2.9352481
1574182603.3476713,2.9345817
1574182604.7152271,2.933938
1574182606.0823216,2.9332816
1574182607.4480724,2.9326253
1574182608.8169184,2.9319854
1574182610.1843092,2.9313454
1574182611.550663,2.930703
1574182612.9198139,2.9300694
1574182614.2870116,2.9294471
1574182615.652827,2.9288046
1574182617.0207953,2.928166
1574182618.3868206,2.9275324
1574182619.7533643,2.9269
1574182621.1201227,2.9262702
1574182622.4847763,2.9256656
1574182623.8510988,2.9250421
1574182625.219989,2.9244324
1574182626.5861144,2.9238076
1574182627.9547663,2.9232094
1574182629.319918,2.9225871
1574182630.6850047,2.9219699
1574182632.0535183,2.9213615
1574182633.4208982,2.9207721
1574182634.789063,2.9201763
1574182636.1570232,2.9196033
1574182637.5227783,2.9190012
1574182638.8875961,2.9184118
1574182640.257042,2.9178084
1574182641.6226225,2.9172228
1574182642.99099,2.916651
1574182644.3844788,2.9160818
1574182645.7512095,2.9154835
1574182647.1181211,2.914918
1574182648.4861622,2.9143551
1574182649.8522074,2.913782
1574182651.2201242,2.9132052
1574182652.5862417,2.9126372
1574182653.9513865,2.9120667
1574182655.318319,2.9115
1574182656.686062,2.9109509
1574182658.05304,2.9103918
1574182659.4183173,2.9098478
1574182660.7860327,2.9092823
1574182662.1768186,2.9087345
1574182663.5439162,2.9081741
1574182664.9123294,2.9076415
1574182666.2794309,2.9071025
1574182667.6713486,2.9065535
1574182669.0363853,2.9060158
1574182670.4023404,2.9054857
