time,voltage
1574110260.653021,4.1960707
1574110262.032674,4.196072
1574110263.3982475,4.1960732
1574110264.76405,4.1960695
1574110266.1299236,4.1960657
1574110267.495056,4.1960682
1574110268.8610003,4.1960645
1574110270.2269826,4.196062
1574110271.5920808,4.1960645
1574110272.9580345,4.196062
1574110274.323195,4.1960595
1574110275.6878455,4.1688182
1574110277.053259,4.1142855
1574110278.419085,4.1127417
1574110279.7842126,4.1115754
1574110281.1560636,4.1106029
1574110282.5251648,4.1097441
1574110283.896305,4.1089678
1574110285.2692819,4.1082578
1574110286.6412125,4.107594
1574110288.0228353,4.1069615
1574110289.395892,4.106369
1574110290.7672515,4.1058003
1574110292.1372876,4.105244
1574110293.505774,4.104719
1574110294.875032,4.1042177
1574110296.244288,4.1037214
1574110297.615433,4.1032377
1574110298.9868596,4.1027702
1574110300.358079,4.1023139
1574110301.7302067,4.1018776
1574110303.101864,4.1014289
1574110304.4737287,4.1009964
1574110305.845604,4.1005839
1574110307.2183936,4.1001814
1574110308.58951,4.0997751
1574110309.9618742,4.0993801
1574110311.3314385,4.0989888
1574110312.7051477,4.0986126
1574110314.0735927,4.0982338
1574110315.4444475,4.0978725
1574110316.8166676,4.0975138
1574110318.1854749,4.0971525
1574110319.5595202,4.0968038
1574110320.9306862,4.0964513
1574110322.3007307,4.0961112
1574110323.672882,4.0957775
1574110325.0428822,4.0954537
1574110326.4111404,4.0951337
1574110327.782936,4.0948062
1574110329.1489978,4.0944875
1574110330.5179827,4.0941799
1574110331.8918803,4.0938624
1574110333.2633195,4.0935549
1574110334.6352837,4.0932524
1574110336.0057847,4.0929524
1574110337.375176,4.0926499
1574110338.746008,4.0923449
1574110340.1155562,4.0920674
1574110341.4859507,4.0917786
1574110342.8580186,4.0914936
1574110344.2293086,4.0912136
1574110345.6008556,4.0909374
1574110346.9736204,4.0906536
1574110348.3431349,4.0903848
1574110349.715234,4.0901173
1574110351.085251,4.0898423
1574110352.4551945,4.0895673
1574110353.82648,4.0893082
1574110355.1987154,4.0890457
1574110356.5713682,4.0887894
1574110357.94267,4.0885269
1574110359.3132193,4.0882756
1574110360.6844645,4.0880219
