time,voltage
1573753339.977346,4.1990493
1573753341.356424,4.1990481
1573753342.722745,4.1990481
1573753344.115174,4.1990468
1573753345.5048141,4.1990481
1573753346.8724012,4.1990456
1573753348.2388453,4.1911639
1573753349.6062574,4.1776143
1573753350.974381,4.1772104
1573753352.3427358,4.1769075
1573753353.709988,4.1766424
1573753355.0778983,4.1764304
1573753356.44554,4.1762234
1573753357.8126104,4.1760378
1573753359.18065,4.1758674
1573753360.5490088,4.1757033
1573753361.9165888,4.175562
1573753363.2843344,4.1754168
1573753364.6516013,4.1752767
1573753366.0188103,4.1751455
1573753367.3973823,4.1750155
1573753368.7655656,4.174893
1573753370.1334093,4.1747706
1573753371.500687,4.1746532
1573753372.8687134,4.174532
1573753374.2387958,4.1744197
1573753375.6068146,4.1743011
1573753376.9974546,4.1741925
1573753378.3653278,4.1740827
1573753379.732588,4.1739855
1573753381.098353,4.1738782
1573753382.4637117,4.1737798
1573753383.8308828,4.1736864
1573753385.1971157,4.1735904
1573753386.5648098,4.1734869
1573753387.931922,4.1734024
1573753389.299367,4.1733153
1573753390.6669438,4.1732105
1573753392.0342283,4.1731196
1573753393.4019477,4.1730325
1573753394.768838,4.172948
1573753396.1360245,4.1728685
1573753397.503951,4.1727788
1573753398.8704886,4.1726993
1573753400.238979,4.1726173
1573753401.6061313,4.1725315
1573753402.9951463,4.1724431
1573753404.3630164,4.1723623
1573753405.72903,4.172279
1573753407.0962517,4.1721995
1573753408.482515,4.1721263
1573753409.8500686,4.1720594
1573753411.2177684,4.1719736
1573753412.5843427,4.1718991
1573753413.9506655,4.171836
1573753415.3180752,4.1717552
1573753416.6858957,4.1716833
1573753418.0531814,4.1716176
1573753419.4202201,4.1715356
1573753420.7883654,4.1714687
1573753422.156218,4.171398
1573753423.5239613,4.1713273
1573753424.8912046,4.1712541
1573753426.257684,4.1711885
1573753427.6247506,4.1711292
1573753428.992011,4.171061
1573753430.3592334,4.1709891
1573753431.7265706,4.1709285
1573753433.0945506,4.1708565
1573753434.482171,4.1707909
1573753435.8710203,4.170729
1573753437.238362,4.1706571
1573753438.6063986,4.1705953
1573753439.9718738,4.170522
1573753441.33921,4.1704627
1573753442.7049768,4.1703933
1573753444.073173,4.1703302
1573753445.4413736,4.1702835
1573753446.8094525,4.1702204
1573753448.1766996,4.1701522
1573753449.552449,4.170098
1573753450.93937,4.1700298
1573753452.307169,4.1699717
1573753453.6728284,4.1699099
1573753455.040421,4.1698455
1573753456.4081924,4.1697799
1573753457.7755747,4.169718
1573753459.1428602,4.1696688
1573753460.5099914,4.1696107
1573753461.8776622,4.1695489
1573753463.244601,4.1694984
1573753464.6126535,4.1694441
1573753465.979672,4.169381
1573753467.3476424,4.1693179
1573753468.7154443,4.1692674
1573753470.0826979,4.1692056
1573753471.4689996,4.1691526
1573753472.8373027,4.169092
1573753474.2037363,4.1690365
1573753475.571736,4.1689847
1573753476.9618747,4.1689191
1573753478.3291407,4.1688597
1573753479.6958215,4.1688093
1573753481.0893037,4.1687525
1573753482.4757082,4.1686931
1573753483.844335,4.1686464
1573753485.2120636,4.1685909
1573753486.5790186,4.1685391
1573753487.9451966,4.1684735
1573753489.31272,4.1684281
1573753490.6800108,4.1683599
1573753492.0475454,4.1683195
1573753493.4151778,4.1682728
1573753494.7831213,4.1682135
1573753496.1506484,4.1681504
1573753497.5181067,4.1681024
1573753498.8863308,4.1680444
1573753500.2542393,4.1679863
1573753501.6191466,4.1679383
1573753502.9847455,4.1678904
1573753504.3513975,4.1678361
1573753505.7188406,4.1677806
1573753507.0841548,4.1677263
1573753508.452089,4.1676796
1573753509.8176558,4.1676342
1573753511.1856172,4.1675748
1573753512.5538254,4.1675281
1573753513.9242077,4.1674726
1573753515.2901912,4.1674158
1573753516.6567197,4.167364
1573753518.0240655,4.1673186
1573753519.3912485,4.1672643
1573753520.759261,4.1672239
1573753522.1272182,4.1671608
1573753523.4939077,4.1671154
1573753524.8613038,4.1670636
1573753526.2292879,4.1670157
1573753527.6023834,4.1669702
1573753528.988383,4.1669134
1573753530.354835,4.1668617
1573753531.7230403,4.1668125
1573753533.0901458,4.166762
1573753534.4783685,4.166714
1573753535.8454802,4.1666623
1573753537.2131677,4.1666168
1573753538.5806034,4.1665562
1573753539.966407,4.1665032
1573753541.3332005,4.1664628
1573753542.7014132,4.1664149
1573753544.0686367,4.166353
1573753545.4356427,4.166295
1573753546.8032987,4.1662546
1573753548.1708841,4.1662028
1573753549.538087,4.1661536
1573753550.9055972,4.1661044
1573753552.2726336,4.1660602
1573753553.6397922,4.1660186
1573753555.0069602,4.1659782
1573753556.375691,4.1659264
1573753557.7438014,4.1658646
