time,voltage
1574088877.840809,3.6013895
1574088879.2350876,3.6013011
1574088880.601914,3.6012191
1574088881.970192,3.601132
1574088883.3376982,3.5567088
1574088884.70501,3.5355986
1574088886.0729945,3.5184164
1574088887.4404655,3.5040627
1574088888.8081484,3.4918927
1574088890.1942434,3.481289
1574088891.561235,3.4721558
1574088892.927975,3.4640626
1574088894.295676,3.4567959
1574088895.6632545,3.4501972
1574088897.0304837,3.444145
1574088898.3979678,3.4385471
1574088899.7668393,3.433328
1574088901.1329029,3.4284345
1574088902.4978037,3.4238338
1574088903.8651037,3.4194628
1574088905.2394645,3.4152887
1574088906.6064062,3.4113267
1574088907.973572,3.4075414
1574088909.3411586,3.4039139
1574088910.707895,3.4004151
1574088912.0762844,3.397045
1574088913.4410696,3.3938012
1574088914.8082438,3.3906672
1574088916.174164,3.3876429
1574088917.5422046,3.3847058
1574088918.908416,3.3818571
1574088920.2738273,3.3790954
1574088921.6397924,3.3764183
1574088923.005204,3.3738081
1574088924.370477,3.3712774
1574088925.736267,3.3688047
1574088927.1041162,3.3663914
1574088928.469787,3.3640463
1574088929.837919,3.3617567
1574088931.2052822,3.3595251
1574088932.5728881,3.3573491
1574088933.940547,3.3552208
1574088935.3062465,3.3531433
1574088936.6729782,3.3511048
1574088938.0391812,3.3491295
1574088939.4061787,3.347187
1574088940.7737536,3.3452836
1574088942.1413517,3.3434294
1574088943.5086353,3.3416144
1574088944.8756888,3.3398385
1574088946.2437446,3.3381043
1574088947.6110556,3.3364091
1574088948.9767685,3.334743
1574088950.3429692,3.3331161
1574088951.7113953,3.3315181
1574088953.077068,3.3299644
1574088954.4444997,3.3284384
1574088955.8112378,3.326944
1574088957.1786559,3.3254722
1574088958.5448315,3.3240321
1574088959.9354272,3.3225995
1574088961.3018332,3.3212262
1574088962.6672208,3.3198833
1574088964.033766,3.318558
1574088965.3990393,3.3172617
1574088966.7693615,3.3159881
1574088968.135873,3.3147449
1574088969.5039153,3.3135294
1574088970.8705819,3.3123316
1574088972.237622,3.3111691
1574088973.6049652,3.3100192
1574088974.972445,3.3088997
1574088976.336985,3.3078003
1574088977.7045312,3.3067274
1574088979.0706468,3.3056748
1574088980.438133,3.3046423
1574088981.8058758,3.30363
1574088983.2030194,3.3026215
1574088984.571097,3.3016496
1574088985.937467,3.300703
1574088987.302866,3.2997766
1574088988.6688914,3.2988741
1574088990.0349808,3.2979855
1574088991.4000356,3.2971159
1574088992.7654662,3.2962664
1574088994.1308188,3.2954333
1574088995.4972458,3.2946192
1574088996.8645422,3.2938177
1574088998.2317288,3.2930364
1574088999.5980012,3.2922779
1574089000.9632745,3.2915269
1574089002.3289042,3.2907998
1574089003.6970894,3.2900842
1574089005.0641255,3.2893887
1574089006.4311717,3.2887046
1574089007.7983203,3.2880382
1574089009.1663034,3.2873844
1574089010.5333662,3.2867495
1574089011.8986654,3.2861222
1574089013.2671537,3.2855163
1574089014.6347058,3.2849193
1574089016.003158,3.2843362
1574089017.3706124,3.2837694
1574089018.7363133,3.2832115
1574089020.1030376,3.2826688
1574089021.4703457,3.2821311
1574089022.8379364,3.2816149
1574089024.2055807,3.2811075
1574089025.5736978,3.280614
1574089026.9415483,3.2801318
1574089028.30701,3.2796585
1574089029.676036,3.279194
1574089031.04392,3.2787383
1574089032.4112115,3.2782978
1574089033.7784133,3.27787
1574089035.144524,3.2774509
1574089036.5124729,3.2770382
1574089037.8802142,3.2766381
1574089039.245619,3.2762506
1574089040.6109638,3.2758694
1574089041.977078,3.275497
1574089043.3440802,3.275131
1574089044.711313,3.2747776
1574089046.0784163,3.2744292
1574089047.4434807,3.2740884
1574089048.8086584,3.2737603
1574089050.17605,3.2734384
1574089051.5429614,3.2731191
1574089052.9080763,3.2728174
1574089054.2761416,3.2725132
1574089055.6442523,3.272233
1574089057.0124166,3.2719414
1574089058.3784924,3.2716688
1574089059.745736,3.2713962
1574089061.1147637,3.2711299
1574089062.4827259,3.2708762
1574089063.85048,3.2706275
1574089065.2157543,3.2703852
1574089066.5820243,3.2701466
1574089067.9473166,3.2699106
1574089069.314502,3.2696922
1574089070.682569,3.2694688
1574089072.047813,3.2692605
1574089073.4127936,3.2690561
1574089074.7799437,3.2688541
1574089076.1470487,3.2686572
1574089077.5151985,3.2684666
1574089078.8806272,3.2682773
1574089080.247808,3.2681006
1574089081.613707,3.2679289
1574089082.978974,3.2677611
1574089084.344255,3.2675945
1574089085.711922,3.2674291
1574089087.07999,3.2672675
1574089088.4470303,3.2671211
1574089089.814202,3.2669785
1574089091.2214212,3.2668308
1574089092.5894797,3.266692
1574089093.9767337,3.2665557
1574089095.3420768,3.2664219
1574089096.708103,3.2662931
1574089098.1038349,3.2661669
1574089099.470336,3.2660508
1574089100.8376184,3.2659309
1574089102.2038376,3.2658173
1574089103.5694253,3.2657087
1574089104.937523,3.265604
1574089106.3052037,3.2655017
1574089107.6732452,3.2653982
1574089109.038796,3.2652998
1574089110.406315,3.2652051
1574089111.7739425,3.2651117
1574089113.1393168,3.2650297
1574089114.5054007,3.2649489
1574089115.8707063,3.2648593
1574089117.2388859,3.264781
1574089118.6041555,3.2647002
1574089119.969558,3.2646308
1574089121.3379123,3.2645551
1574089122.7032535,3.2644869
1574089124.068525,3.2644188
1574089125.4337976,3.2643468
1574089126.7990692,3.2642825
1574089128.1643429,3.2642219
1574089129.5296154,3.2641613
1574089130.8948846,3.2640969
1574089132.260157,3.2640464
1574089133.6254282,3.2639972
1574089134.990701,3.2639379
1574089136.355973,3.2638798
1574089137.7212443,3.2638306
1574089139.0865173,3.2637864
1574089140.451791,3.2637296
1574089141.817059,3.2636829
1574089143.1823254,3.2636362
1574089144.54727,3.2636021
1574089145.9125319,3.2635706
1574089147.2780685,3.2635264
1574089148.645541,3.2634885
1574089150.0134804,3.2634431
1574089151.3808808,3.2634116
1574089152.748502,3.2633749
1574089154.1159635,3.2633434
1574089155.4838908,3.2633081
1574089156.851564,3.2632702
1574089158.2186778,3.2632449
1574089159.5872216,3.2632159
1574089160.9541988,3.2631844
1574089162.3224175,3.2631566
1574089163.7241518,3.2631212
1574089165.0896547,3.2630947
1574089166.455284,3.2630695
1574089167.8231597,3.2630468
1574089169.18811,3.2630215
1574089170.5549793,3.2629887
1574089171.9231434,3.2629736
1574089173.2891798,3.2629534
1574089174.6578286,3.2629294
1574089176.023634,3.2629079
1574089177.3887568,3.262889
1574089178.7553508,3.2628688
1574089180.1221514,3.2628474
1574089181.490165,3.2628309
1574089182.8550134,3.2628107
