time,voltage
1574097829.4421349,3.6209547
1574097830.824995,3.6206606
1574097832.190758,3.6203728
1574097833.5592413,3.6200876
1574097834.9275086,3.5423551
1574097836.293895,3.4954735
1574097837.6640687,3.4607241
1574097839.0319688,3.4357665
1574097840.3986664,3.4172994
1574097841.7858803,3.4026618
1574097843.1721025,3.3906242
1574097844.5398836,3.3804636
1574097845.9071975,3.3715147
1574097847.2744694,3.3634695
1574097848.6410837,3.3561424
1574097850.0076435,3.3494047
1574097851.3753684,3.3431404
1574097852.743388,3.3372952
1574097854.111018,3.3318148
1574097855.4787486,3.3266461
1574097856.868478,3.3216958
1574097858.235542,3.3170787
1574097859.6024656,3.3126976
1574097860.9696,3.3085235
1574097862.354782,3.3044946
1574097863.72169,3.3007005
1574097865.0897954,3.2970729
1574097866.4570262,3.2935931
1574097867.824854,3.2902622
1574097869.1910233,3.2870675
1574097870.557822,3.2840055
1574097871.9232526,3.2810696
1574097873.2919564,3.2782373
1574097874.6602473,3.275521
1574097876.0281482,3.2729184
1574097877.3952563,3.2704117
1574097878.7621036,3.2680148
1574097880.1281104,3.2657113
1574097881.4944353,3.2635012
1574097882.8615167,3.2613744
1574097884.2288024,3.2593397
1574097885.5973318,3.2573758
1574097886.964588,3.2555052
1574097888.3314953,3.253704
1574097889.7000196,3.2519774
1574097891.0656912,3.250326
1574097892.433742,3.2487457
1574097893.7989175,3.2472374
1574097895.1663501,3.2457922
1574097896.5341787,3.2444076
1574097897.901275,3.2430861
1574097899.2862616,3.2418113
1574097900.654059,3.2405996
1574097902.0220077,3.2394396
1574097903.388494,3.2383402
1574097904.755053,3.2372876
1574097906.1220417,3.2362816
1574097907.4892101,3.2353223
1574097908.8537276,3.2344047
1574097910.2209141,3.23353
1574097911.5882065,3.2327033
1574097912.9536889,3.2319119
1574097914.3224924,3.2311558
1574097915.6906447,3.2304351
1574097917.0578096,3.2297485
1574097918.4594567,3.2290859
1574097919.824812,3.2284686
1574097921.1899347,3.2278868
1574097922.5565073,3.2273251
1574097923.921951,3.2267988
1574097925.287524,3.2262989
1574097926.6537378,3.2258269
1574097928.0212712,3.2253775
1574097929.3888254,3.2249572
1574097930.7552598,3.2245533
1574097932.1208632,3.2241721
1574097933.4859843,3.22382
1574097934.8531437,3.2234779
1574097936.2222857,3.2231662
1574097937.5880044,3.2228632
1574097938.9534776,3.2225767
1574097940.3212514,3.2223079
1574097941.6890292,3.2220554
1574097943.056918,3.2218194
1574097944.4241815,3.2215922
1574097945.7907047,3.221384
1574097947.1592362,3.2211845
1574097948.526377,3.2209876
1574097949.8928359,3.2208185
1574097951.2598217,3.2206456
1574097952.6276155,3.2204878
1574097953.993034,3.2203351
1574097955.3584259,3.2201975
1574097956.724776,3.2200599
1574097958.0905912,3.21994
1574097959.4587624,3.2198163
1574097960.8262067,3.2197078
1574097962.1914792,3.2195992
1574097963.5563412,3.2194995
1574097964.921174,3.2194048
1574097966.288927,3.219319
1574097967.6560874,3.2192319
1574097969.0226684,3.2191474
1574097970.3903549,3.2190716
1574097971.7574692,3.2189984
1574097973.1250777,3.2189265
