time,voltage
1573661216.946213,3.4361286
1573661218.3131278,3.4360461
1573661219.6791885,3.4359573
1573661221.0461526,3.4358723
1573661222.417165,3.4357848
1573661223.7846632,3.4356998
1573661225.1524656,3.4356086
1573661226.5198748,3.4355286
1573661227.8872235,3.4354423
1573661229.253556,3.4353448
1573661230.6207952,3.4352485
1573661231.988729,3.4351635
1573661233.3558145,3.4350798
1573661234.737293,3.4349923
1573661236.121477,3.4348998
1573661237.4887247,3.434821
1573661238.856294,3.4347348
1573661240.224073,3.4346373
1573661241.5911956,3.434556
1573661242.9582314,3.4344798
1573661244.3251286,3.4343885
1573661245.6907914,3.4343035
1573661247.0585485,3.4342185
1573661248.4236617,3.434131
1573661249.790259,3.4340448
1573661251.1556346,3.4339585
1573661252.5225267,3.4338673
1573661253.8896537,3.433791
1573661255.2566795,3.4336998
1573661256.6241355,3.433621
1573661257.991869,3.433521
1573661259.358699,3.4334385
1573661260.7286026,3.4333522
1573661262.0955527,3.4332647
1573661263.4612985,3.433171
1573661264.8476293,3.4330785
1573661266.231942,3.4330047
1573661267.5994058,3.4329135
1573661268.9869528,3.4328222
1573661270.3541453,3.4327385
1573661271.7215276,3.4326485
1573661273.088834,3.4325572
1573661274.4561677,3.432481
1573661275.8215373,3.4323935
1573661277.1875725,3.4323072
1573661278.5545828,3.432221
1573661279.922863,3.432136
1573661281.2896097,3.4320547
1573661282.6576197,3.4319597
1573661284.023298,3.431876
1573661285.3902876,3.4317885
1573661286.755727,3.4317072
1573661288.1208797,3.4316247
1573661289.4858005,3.4315497
1573661290.964091,3.4314547
1573661292.337856,3.4313647
1573661293.909817,3.4312659
1573661295.2772098,3.4311809
1573661296.6440325,3.4310959
1573661298.0092714,3.4310134
1573661299.374943,3.4309347
1573661300.7419503,3.4308472
1573661302.1093059,3.4307609
1573661303.4749668,3.4306772
1573661304.840838,3.4305947
1573661306.2081082,3.4305084
1573661307.5760126,3.4304172
1573661308.9426172,3.4303247
1573661310.3102157,3.4302434
1573661311.6758285,3.4301734
1573661313.0928266,3.4300772
1573661314.914689,3.4299684
1573661316.2809517,3.4298772
1573661317.6478033,3.4297834
1573661319.0134363,3.4297084
1573661320.3852901,3.4296196
1573661321.753649,3.4295371
1573661323.1199088,3.4294559
1573661324.52355,3.4293684
1573661325.9100337,3.4292909
1573661327.2767074,3.4292109
1573661328.6443474,3.4291234
1573661330.0118437,3.4290346
1573661331.379758,3.4289509
1573661332.7472355,3.4288659
1573661334.1155245,3.4287734
1573661335.4830117,3.4286871
1573661336.850464,3.4286009
1573661338.218688,3.4285221
1573661339.5855212,3.4284346
1573661340.95294,3.4283471
1573661342.3202968,3.4282609
1573661343.6872544,3.4281884
1573661345.0551827,3.4281021
1573661346.424097,3.4280121
1573661347.7901251,3.4279271
1573661349.1554427,3.4278409
1573661350.5427108,3.4277621
1573661351.9095874,3.4276771
1573661353.2774475,3.4275871
1573661354.6422958,3.4275058
1573661356.0103002,3.4274346
1573661357.3768213,3.4273321
