=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.11.14 13:55:02 =~=~=~=~=~=~=~=~=~=~=~=
BME280 Temp,40632.1374389535, Pressure (%),98.086152, Humidity (%),20.560546, 3_axis_X (m/s2),-2.177856, 3_axis_Y (m/s2),0.191040, 3_axis_Z (m/s2),9.208128, Proximity,0.000000, Distance (m),0.269000, CO2 (ppm),418.000000, VOC (ppb),2.000000, 9_axis_accel_X (m/s2),2.266420, 9_axis_accel_Y (m/s2),-0.282256, 9_axis_accel_Z (m/s2),9.777300, 9_axis_Gyro_X,0.000000, 9_axis_Gyro_Y,0.004260, 9_axis_Gyro_Z,0.008520, 9_axis_Geo_X,0.332500, 9_axis_Geo_Y,0.409375, 9_axis_Geo_Z,-0.006875, FG_Voltage,4.099000, FG_Current,0.000000, ALS,658.960000, TMP103_temp,16.000000, Sensor data pushed
BME280 Temp,38010.-515396076, Pressure (%),98.085402, Humidity (%),20.590820, 3_axis_X (m/s2),-2.216064, 3_axis_Y (m/s2),0.191040, 3_axis_Z (m/s2),9.208128, Proximity,0.000000, Distance (m),0.267000, CO2 (ppm),450.000000, VOC (ppb),7.000000, 9_axis_accel_X (m/s2),2.253264, 9_axis_accel_Y (m/s2),-0.271492, 9_axis_accel_Z (m/s2),9.771320, 9_axis_Gyro_X,0.001065, 9_axis_Gyro_Y,0.001065, 9_axis_Gyro_Z,0.008520, 9_axis_Geo_X,0.328750, 9_axis_Geo_Y,0.398125, 9_axis_Geo_Z,-0.006875, FG_Voltage,4.099000, FG_Current,0.000000, ALS,658.879999, TMP103_temp,16.000000, Sensor data pushed
BME280 Temp,36700.687194767, Pressure (%),98.085937, Humidity (%),20.685546, 3_axis_X (m/s2),-2.063232, 3_axis_Y (m/s2),0.191040, 3_axis_Z (m/s2),9.246336, Proximity,0.000000, Distance (m),0.269000, CO2 (ppm),426.000000, VOC (ppb),3.000000, 9_axis_accel_X (m/s2),2.274792, 9_axis_accel_Y (m/s2),-0.284648, 9_axis_accel_Z (m/s2),9.795240, 9_axis_Gyro_X,0.000000, 9_axis_Gyro_Y,0.000000, 9_axis_Gyro_Z,0.008520, 9_axis_Geo_X,0.336250, 9_axis_Geo_Y,0.420000, 9_axis_Geo_Z,-0.006875, FG_Voltage,4.099000, FG_Current,0.000000, ALS,658.720000, TMP103_temp,16.000000, Sensor data pushed
BME280 Temp,34078.-1202590843, Pressure (%),98.086300, Humidity (%),20.842773, 3_axis_X (m/s2),-2.177856, 3_axis_Y (m/s2),0.191040, 3_axis_Z (m/s2),9.284544, Proximity,0.000000, Distance (m),0.266000, CO2 (ppm),405.000000, VOC (ppb),0.000000, 9_axis_accel_X (m/s2),2.250274, 9_axis_accel_Y (m/s2),-0.288236, 9_axis_accel_Z (m/s2),9.780888, 9_axis_Gyro_X,0.000000, 9_axis_Gyro_Y,0.002130, 9_axis_Gyro_Z,0.008520, 9_axis_Geo_X,0.328750, 9_axis_Geo_Y,0.413125, 9_axis_Geo_Z,-0.003125, FG_Voltage,4.099000, FG_Current,0.000000, ALS,658.639999, TMP103_temp,16.000000, Sensor data pushed
BME280 Temp,31457.1202590843, Pressure (%),98.085839, Humidity (%),20.989257, 3_axis_X (m/s2),-2.254272, 3_axis_Y (m/s2),0.267456, 3_axis_Z (m/s2),9.208128, Proximity,0.000000, Distance (m),0.267000, CO2 (ppm),426.000000, VOC (ppb),3.000000, 9_axis_accel_X (m/s2),2.265224, 9_axis_accel_Y (m/s2),-0.277472, 9_axis_accel_Z (m/s2),9.765938, 9_axis_Gyro_X,0.002130, 9_axis_Gyro_Y,0.003195, 9_axis_Gyro_Z,0.007455, 9_axis_Geo_X,0.328750, 9_axis_Geo_Y,0.398125, 9_axis_Geo_Z,0.003125, FG_Voltage,4.099000, FG_Current,0.000000, ALS,658.800000, TMP103_temp,16.000000, Sensor data pushed
BME280 Temp,30146.-1889785610, Pressure (%),98.085367, Humidity (%),21.062500, 3_axis_X (m/s2),-2.139648, 3_axis_Y (m/s2),0.267456, 3_axis_Z (m/s2),9.284544, Proximity,0.000000, Distance (m),0.264000, CO2 (ppm),514.000000, VOC (ppb),17.000000, 9_axis_accel_X (m/s2),2.260440, 9_axis_accel_Y (m/s2),-0.281658, 9_axis_accel_Z (m/s2),9.798828, 9_axis_Gyro_X,0.002130, 9_axis_Gyro_Y,0.002130, 9_axis_Gyro_Z,0.007455, 9_axis_Geo_X,0.321250, 9_axis_Geo_Y,0.413125, 9_axis_Geo_Z,-0.010625, FG_Voltage,4.099000, FG_Current,0.000000, ALS,658.800000, TMP103_temp,16.000000, Sensor data pushed
BME280 Temp,27525.515396076, Pressure (%),98.087492, Humidity (%),20.819335, 3_axis_X (m/s2),-2.101440, 3_axis_Y (m/s2),0.191040, 3_axis_Z (m/s2),9.246336, Proximity,0.000000, Distance (m),0.267000, CO2 (ppm),414.000000, VOC (ppb),2.000000, 9_axis_accel_X (m/s2),2.261038, 9_axis_accel_Y (m/s2),-0.299000, 9_axis_accel_Z (m/s2),9.767732, 9_axis_Gyro_X,0.000000, 9_axis_Gyro_Y,0.002130, 9_axis_Gyro_Z,0.009585, 9_axis_Geo_X,0.336250, 9_axis_Geo_Y,0.416250, 9_axis_Geo_Z,-0.006875, FG_Voltage,4.099000, FG_Current,0.000000, ALS,658.560000, TMP103_temp,16.000000, Sensor data pushed
BME280 Temp,22282.1030792151, Pressure (%),98.085859, Humidity (%),20.912109, 3_axis_X (m/s2),-2.139648, 3_axis_Y (m/s2),0.191040, 3_axis_Z (m/s2),9.131712, Proximity,0.000000, Distance (m),0.264000, CO2 (ppm),422.000000, VOC (ppb),3.000000, 9_axis_accel_X (m/s2),2.286154, 9_axis_accel_Y (m/s2),-0.275678, 9_axis_accel_Z (m/s2),9.768330, 9_axis_Gyro_X,0.000000, 9_axis_Gyro_Y,-0.001065, 9_axis_Gyro_Z,0.008520, 9_axis_Geo_X,0.343125, 9_axis_Geo_Y,0.409375, 9_axis_Geo_Z,0.003125, FG_Voltage,4.099000, FG_Current,0.000000, ALS,738.820000, TMP103_temp,16.000000, Sensor data pushed
BME280 Temp,20971.-2061584302, Pressure (%),98.084972, Humidity (%),20.996093, 3_axis_X (m/s2),-2.139648, 3_axis_Y (m/s2),0.229248, 3_axis_Z (m/s2),9.208128, Proximity,0.000000, Distance (m),0.266000, CO2 (ppm),409.000000, VOC (ppb),1.000000, 9_axis_accel_X (m/s2),2.264028, 9_axis_accel_Y (m/s2),-0.264914, 9_axis_accel_Z (m/s2),9.767134, 9_axis_Gyro_X,0.000000, 9_axis_Gyro_Y,0.001065, 9_axis_Gyro_Z,0.007455, 9_axis_Geo_X,0.317500, 9_axis_Geo_Y,0.405625, 9_axis_Geo_Z,-0.006875, FG_Voltage,4.099000, FG_Current,0.000000, ALS,660.180000, TMP103_temp,16.000000, Sensor data pushed
BME280 Temp,18350.343597384, Pressure (%),98.085750, Humidity (%),21.057617, 3_axis_X (m/s2),-2.139648, 3_axis_Y (m/s2),0.152832, 3_axis_Z (m/s2),9.169920, Proximity,0.000000, Distance (m),0.270000, CO2 (ppm),422.000000, VOC (ppb),3.000000, 9_axis_accel_X (m/s2),2.248480, 9_axis_accel_Y (m/s2),-0.286442, 9_axis_accel_Z (m/s2),9.752184, 9_axis_Gyro_X,0.000000, 9_axis_Gyro_Y,0.002130, 9_axis_Gyro_Z,0.007455, 9_axis_Geo_X,0.321250, 9_axis_Geo_Y,0.420000, 9_axis_Geo_Z,0.000000, FG_Voltage,4.099000, FG_Current,0.000000, ALS,660.019999, TMP103_temp,16.000000, Sensor data pushed
BME280 Temp,17039.1546188227, Pressure (%),98.085949, Humidity (%),21.130859, 3_axis_X (m/s2),-2.177856, 3_axis_Y (m/s2),0.191040, 3_axis_Z (m/s2),9.246336, Proximity,0.000000, Distance (m),0.267000, CO2 (ppm),438.000000, VOC (ppb),5.000000, 9_axis_accel_X (m/s2),2.268812, 9_axis_accel_Y (m/s2),-0.298402, 9_axis_accel_Z (m/s2),9.783280, 9_axis_Gyro_X,0.000000, 9_axis_Gyro_Y,0.004260, 9_axis_Gyro_Z,0.008520, 9_axis_Geo_X,0.325000, 9_axis_Geo_Y,0.420000, 9_axis_Geo_Z,0.000000, FG_Voltage,4.099000, FG_Current,0.000000, ALS,737.300000, TMP103_temp,16.000000, Sensor data pushed
