=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.11.14 16:44:18 =~=~=~=~=~=~=~=~=~=~=~=
BME280 Temp,25559.171798692, Pressure (%),98.130523, Humidity (%),10.519531, 3_axis_X (m/s2),-0.038208, 3_axis_Y (m/s2),2.368896, 3_axis_Z (m/s2),9.131712, Proximity,0.000000, Distance (m),8.190000, CO2 (ppm),450.000000, VOC (ppb),7.000000, 9_axis_accel_X (m/s2),0.126178, 9_axis_accel_Y (m/s2),-2.593526, 9_axis_accel_Z (m/s2),9.672052, 9_axis_Gyro_X,0.002130, 9_axis_Gyro_Y,0.000000, 9_axis_Gyro_Z,0.006390, 9_axis_Geo_X,-0.280000, 9_axis_Geo_Y,0.606875, 9_axis_Geo_Z,0.011250, FG_Voltage,4.107000, FG_Current,0.000000, ALS,8554.239999, TMP103_temp,25.000000, Sensor data pushed
BME280 Temp,26214.1717986918, Pressure (%),98.130765, Humidity (%),10.519531, 3_axis_X (m/s2),-0.076416, 3_axis_Y (m/s2),2.407104, 3_axis_Z (m/s2),9.208128, Proximity,0.000000, Distance (m),8.190000, CO2 (ppm),432.000000, VOC (ppb),4.000000, 9_axis_accel_X (m/s2),0.123786, 9_axis_accel_Y (m/s2),-2.608476, 9_axis_accel_Z (m/s2),9.640956, 9_axis_Gyro_X,0.000000, 9_axis_Gyro_Y,0.000000, 9_axis_Gyro_Z,0.007455, 9_axis_Geo_X,-0.287500, 9_axis_Geo_Y,0.585000, 9_axis_Geo_Z,0.015000, FG_Voltage,4.107000, FG_Current,0.000000, ALS,8552.960000, TMP103_temp,25.000000, Sensor data pushed
BME280 Temp,26214.1717986918, Pressure (%),98.130222, Humidity (%),10.508789, 3_axis_X (m/s2),-0.038208, 3_axis_Y (m/s2),2.407104, 3_axis_Z (m/s2),9.208128, Proximity,0.000000, Distance (m),8.190000, CO2 (ppm),422.000000, VOC (ppb),3.000000, 9_axis_accel_X (m/s2),0.130364, 9_axis_accel_Y (m/s2),-2.597114, 9_axis_accel_Z (m/s2),9.652916, 9_axis_Gyro_X,0.001065, 9_axis_Gyro_Y,0.001065, 9_axis_Gyro_Z,0.007455, 9_axis_Geo_X,-0.291250, 9_axis_Geo_Y,0.591875, 9_axis_Geo_Z,0.007500, FG_Voltage,4.107000, FG_Current,0.000000, ALS,8554.880000, TMP103_temp,25.000000, Sensor data pushed
BME280 Temp,26214.1717986918, Pressure (%),98.130125, Humidity (%),10.606445, 3_axis_X (m/s2),0.000000, 3_axis_Y (m/s2),2.407104, 3_axis_Z (m/s2),9.169920, Proximity,0.000000, Distance (m),8.190000, CO2 (ppm),435.000000, VOC (ppb),5.000000, 9_axis_accel_X (m/s2),0.134550, 9_axis_accel_Y (m/s2),-2.601898, 9_axis_accel_Z (m/s2),9.661288, 9_axis_Gyro_X,0.000000, 9_axis_Gyro_Y,0.000000, 9_axis_Gyro_Z,0.006390, 9_axis_Geo_X,-0.280000, 9_axis_Geo_Y,0.603125, 9_axis_Geo_Z,0.011250, FG_Voltage,4.107000, FG_Current,0.000000, ALS,8554.880000, TMP103_temp,25.000000, Sensor data pushed
BME280 Temp,26869.-1030792151, Pressure (%),98.129390, Humidity (%),10.649414, 3_axis_X (m/s2),-0.038208, 3_axis_Y (m/s2),2.368896, 3_axis_Z (m/s2),9.208128, Proximity,0.000000, Distance (m),8.190000, CO2 (ppm),426.000000, VOC (ppb),3.000000, 9_axis_accel_X (m/s2),0.117806, 9_axis_accel_Y (m/s2),-2.591134, 9_axis_accel_Z (m/s2),9.639162, 9_axis_Gyro_X,0.003195, 9_axis_Gyro_Y,0.001065, 9_axis_Gyro_Z,0.007455, 9_axis_Geo_X,-0.280000, 9_axis_Geo_Y,0.599375, 9_axis_Geo_Z,0.023125, FG_Voltage,4.107000, FG_Current,0.000000, ALS,8553.600000, TMP103_temp,25.000000, Sensor data pushed
BME280 Temp,27525.515396076, Pressure (%),98.130140, Humidity (%),10.574218, 3_axis_X (m/s2),-0.038208, 3_axis_Y (m/s2),2.330688, 3_axis_Z (m/s2),9.208128, Proximity,0.000000, Distance (m),8.190000, CO2 (ppm),435.000000, VOC (ppb),5.000000, 9_axis_accel_X (m/s2),0.139932, 9_axis_accel_Y (m/s2),-2.592928, 9_axis_accel_Z (m/s2),9.661288, 9_axis_Gyro_X,0.001065, 9_axis_Gyro_Y,0.001065, 9_axis_Gyro_Z,0.007455, 9_axis_Geo_X,-0.283750, 9_axis_Geo_Y,0.606875, 9_axis_Geo_Z,0.003750, FG_Voltage,4.107000, FG_Current,0.000000, ALS,8554.880000, TMP103_temp,25.000000, Sensor data pushed
BME280 Temp,27525.515396076, Pressure (%),98.128410, Humidity (%),10.606445, 3_axis_X (m/s2),0.038208, 3_axis_Y (m/s2),2.407104, 3_axis_Z (m/s2),9.169920, Proximity,0.000000, Distance (m),8.190000, CO2 (ppm),435.000000, VOC (ppb),5.000000, 9_axis_accel_X (m/s2),0.137540, 9_axis_accel_Y (m/s2),-2.589340, 9_axis_accel_Z (m/s2),9.667268, 9_axis_Gyro_X,0.004260, 9_axis_Gyro_Y,0.001065, 9_axis_Gyro_Z,0.007455, 9_axis_Geo_X,-0.280000, 9_axis_Geo_Y,0.599375, 9_axis_Geo_Z,0.019375, FG_Voltage,4.107000, FG_Current,0.000000, ALS,8555.200000, TMP103_temp,25.000000, Sensor data pushed
BME280 Temp,28180.2061584302, Pressure (%),98.129812, Humidity (%),10.606445, 3_axis_X (m/s2),-0.076416, 3_axis_Y (m/s2),2.407104, 3_axis_Z (m/s2),9.131712, Proximity,0.000000, Distance (m),8.190000, CO2 (ppm),470.000000, VOC (ppb),10.000000, 9_axis_accel_X (m/s2),0.113620, 9_axis_accel_Y (m/s2),-2.585752, 9_axis_accel_Z (m/s2),9.669062, 9_axis_Gyro_X,0.000000, 9_axis_Gyro_Y,0.000000, 9_axis_Gyro_Z,0.006390, 9_axis_Geo_X,-0.287500, 9_axis_Geo_Y,0.591875, 9_axis_Geo_Z,0.007500, FG_Voltage,4.107000, FG_Current,0.000000, ALS,8554.880000, TMP103_temp,25.000000, Sensor data pushed
BME280 Temp,28835.-687194767, Pressure (%),98.131894, Humidity (%),10.584960, 3_axis_X (m/s2),0.000000, 3_axis_Y (m/s2),2.407104, 3_axis_Z (m/s2),9.246336, Proximity,1.000000, Distance (m),0.000000, CO2 (ppm),435.000000, VOC (ppb),5.000000, 9_axis_accel_X (m/s2),0.152490, 9_axis_accel_Y (m/s2),-2.599506, 9_axis_accel_Z (m/s2),9.638564, 9_axis_Gyro_X,0.001065, 9_axis_Gyro_Y,0.001065, 9_axis_Gyro_Z,0.007455, 9_axis_Geo_X,-0.298125, 9_axis_Geo_Y,0.591875, 9_axis_Geo_Z,0.003750, FG_Voltage,4.107000, FG_Current,0.000000, ALS,8553.600000, TMP103_temp,25.000000, Sensor data pushed
BME280 Temp,28835.-687194767, Pressure (%),98.134339, Humidity (%),10.552734, 3_axis_X (m/s2),-0.076416, 3_axis_Y (m/s2),2.368896, 3_axis_Z (m/s2),9.131712, Proximity,0.000000, Distance (m),8.190000, CO2 (ppm),426.000000, VOC (ppb),3.000000, 9_axis_accel_X (m/s2),0.134550, 9_axis_accel_Y (m/s2),-2.582762, 9_axis_accel_Z (m/s2),9.658298, 9_axis_Gyro_X,0.002130, 9_axis_Gyro_Y,0.001065, 9_axis_Gyro_Z,0.006390, 9_axis_Geo_X,-0.276250, 9_axis_Geo_Y,0.595625, 9_axis_Geo_Z,0.015000, FG_Voltage,4.107000, FG_Current,0.000000, ALS,8553.280000, TMP103_temp,25.000000, Sensor data pushed
BME280 Temp,28835.-687194767, Pressure (%),98.132980, Humidity (%),10.531250, 3_axis_X (m/s2),-0.038208, 3_axis_Y (m/s2),2.407104, 3_axis_Z (m/s2),9.131712, Proximity,0.000000, Distance (m),8.190000, CO2 (ppm),441.000000, VOC (ppb),6.000000, 9_axis_accel_X (m/s2),0.126178, 9_axis_accel_Y (m/s2),-2.597712, 9_axis_accel_Z (m/s2),9.633182, 9_axis_Gyro_X,0.002130, 9_axis_Gyro_Y,0.000000, 9_axis_Gyro_Z,0.006390, 9_axis_Geo_X,-0.280000, 9_axis_Geo_Y,0.603125, 9_axis_Geo_Z,0.007500, FG_Voltage,4.107000, FG_Current,0.000000, ALS,8553.600000, TMP103_temp,25.000000, Sensor data pushed
