time,voltage,current
1574094978.2524188,3.43783,1.07163
1574094979.3456113,3.43884,1.07164
1574094980.4699996,3.43981,1.07162
1574094981.5917175,3.44078,1.07162
1574094982.7081137,3.44177,1.07163
1574094983.8107383,3.44269,1.07162
1574094984.9297373,3.44361,1.07162
1574094986.049983,3.44451,1.07163
1574094987.1777008,3.44542,1.07164
1574094988.2900155,3.44627,1.07162
1574094989.4170966,3.44709,1.07162
1574094990.5348947,3.44792,1.07162
1574094991.6454244,3.44874,1.07164
1574094992.7597249,3.44953,1.07162
1574094993.8744085,3.45034,1.07162
1574094995.0002334,3.45115,1.07161
1574094996.118286,3.45188,1.07164
1574094997.2411606,3.45266,1.07162
1574094998.3552802,3.45346,1.07164
1574094999.4657311,3.45412,1.07163
1574095000.5884924,3.45486,1.07163
1574095001.7002275,3.45551,1.07161
1574095002.8176832,3.45625,1.07162
1574095003.9434516,3.45693,1.07163
1574095005.0607011,3.45762,1.07162
1574095006.1875632,3.4583,1.07161
1574095007.3018336,3.45893,1.07162
1574095008.4138496,3.45955,1.07161
1574095009.530838,3.46017,1.07162
1574095010.6307058,3.46081,1.07161
1574095011.7283034,3.46146,1.07161
1574095012.8419604,3.46204,1.07163
1574095013.953247,3.46265,1.07162
1574095015.0683532,3.46323,1.07164
1574095016.194365,3.46379,1.07163
1574095017.3033354,3.46435,1.07163
1574095018.4163063,3.4649,1.07162
1574095019.5315056,3.46541,1.07162
1574095020.6452413,3.46592,1.07162
1574095021.7575223,3.46645,1.07163
1574095022.873612,3.46694,1.07163
1574095023.967544,3.46746,1.07162
1574095025.0696042,3.46795,1.07162
1574095026.1828659,3.46845,1.07162
1574095027.2941947,3.4689,1.07163
1574095028.4067326,3.46938,1.07162
1574095029.521633,3.46979,1.07162
1574095030.645601,3.47014,1.07162
1574095031.7374127,3.47061,1.07161
1574095032.849524,3.471,1.07162
1574095033.9657912,3.47144,1.07161
1574095035.077031,3.47181,1.07163
1574095036.1905751,3.47227,1.07161
1574095037.3116045,3.47271,1.07162
1574095038.4257903,3.47311,1.07162
1574095039.5193985,3.47347,1.07162
1574095040.636781,3.47387,1.07163
1574095041.764996,3.47428,1.07163
1574095042.8822818,3.47467,1.07162
1574095043.985095,3.47505,1.07162
1574095045.0975544,3.4754,1.07163
1574095046.212562,3.47576,1.07162
1574095047.3246727,3.47611,1.07162
1574095048.4365094,3.47647,1.07163
1574095049.550951,3.47684,1.07161
1574095050.6608582,3.47722,1.07162
1574095051.7758045,3.47758,1.07162
1574095052.8889687,3.47789,1.07162
1574095054.0022259,3.47819,1.07162
1574095055.1146004,3.47853,1.07162
1574095056.2260573,3.47883,1.07163
1574095057.3405209,3.47915,1.07163
1574095058.4554183,3.47946,1.07162
1574095059.570962,3.47978,1.07162
1574095060.6863368,3.48009,1.07163
1574095061.8074675,3.48037,1.07162
1574095062.9193137,3.48067,1.07161
1574095064.0356956,3.48103,1.07162
1574095065.1535213,3.48127,1.07162
1574095066.276632,3.48156,1.07161
1574095067.3918426,3.48187,1.07161
1574095068.502517,3.48213,1.07163
1574095069.6158092,3.48237,1.07163
1574095070.717996,3.48266,1.07161
1574095071.8392687,3.48292,1.07161
1574095072.9517903,3.48321,1.07162
1574095074.0624728,3.48347,1.07162
1574095075.1779068,3.48374,1.07161
1574095076.2962084,3.48401,1.07162
1574095077.4197116,3.48427,1.07164
1574095078.5320952,3.48453,1.07162
1574095079.6472683,3.48476,1.07161
1574095080.7720864,3.48501,1.07162
1574095081.8772237,3.48525,1.07161
1574095082.9732704,3.4855,1.07162
1574095084.093313,3.48571,1.07163
1574095085.213328,3.48596,1.07162
1574095086.3276412,3.48621,1.07162
1574095087.439827,3.48645,1.07164
1574095088.562644,3.48667,1.07163
1574095089.681518,3.48692,1.07161
1574095090.8076267,3.48714,1.07161
1574095091.9206672,3.48737,1.07161
1574095093.0320747,3.4876,1.07164
1574095094.150735,3.48778,1.07162
1574095095.2649157,3.48801,1.07162
1574095096.3768933,3.4882,1.07162
1574095097.5042431,3.4884,1.07162
1574095098.5999928,3.48865,1.0716
1574095099.7226899,3.48882,1.07161
1574095100.817341,3.48905,1.07161
1574095101.9386675,3.48922,1.07162
1574095103.049188,3.48944,1.07162
1574095104.1598666,3.48966,1.07162
1574095105.281475,3.48981,1.07163
1574095106.3972805,3.49004,1.07162
1574095107.5146227,3.49021,1.07162
1574095108.638913,3.49042,1.07161
1574095109.741497,3.4906,1.07163
1574095110.861769,3.49079,1.07161
1574095111.9759152,3.49095,1.07162
1574095113.068615,3.49115,1.07161
1574095114.1847908,3.49133,1.0716
1574095115.3090138,3.49152,1.07161
1574095116.4239018,3.4917,1.07161
1574095117.5429442,3.49186,1.07162
1574095118.6599746,3.49203,1.07162
1574095119.7795875,3.49223,1.07163
1574095120.8920372,3.49237,1.0716
1574095122.0047033,3.49254,1.07161
1574095123.115278,3.4927,1.07161
1574095124.2248425,3.49288,1.07162
1574095125.34202,3.49306,1.07161
1574095126.456328,3.49321,1.0716
1574095127.5702784,3.49338,1.07162
1574095128.6888776,3.49354,1.07162
1574095129.809728,3.49373,1.07163
1574095130.9275496,3.49389,1.07163
1574095132.0398173,3.49407,1.07161
1574095133.1553397,3.49422,1.07161
1574095134.2664225,3.49438,1.07162
1574095135.3826501,3.49449,1.07161
1574095136.5136735,3.49468,1.07162
1574095137.632526,3.49483,1.07162
1574095138.7553978,3.49496,1.07161
1574095139.8718762,3.49515,1.07162
1574095140.9762328,3.49528,1.07162
1574095142.098042,3.49542,1.07162
1574095143.2141404,3.49559,1.07162
1574095144.3262923,3.49574,1.07161
1574095145.4491053,3.49585,1.07161
1574095146.55967,3.496,1.07163
1574095147.6739573,3.49616,1.07161
1574095148.7864068,3.49628,1.07161
1574095149.908385,3.49646,1.07162
1574095151.0293174,3.49655,1.07161
1574095152.1613965,3.49671,1.0716
1574095153.2817981,3.49687,1.07162
1574095154.3848886,3.49699,1.07162
1574095155.477962,3.49712,1.0716
1574095156.5907402,3.49726,1.07162
1574095157.7164226,3.49737,1.07161
1574095158.829725,3.49752,1.07161
1574095159.9407725,3.49763,1.07162
1574095161.0528698,3.49777,1.07162
1574095162.176501,3.49792,1.07161
1574095163.2932541,3.49803,1.07162
1574095164.4069395,3.49816,1.0716
1574095165.5209646,3.49828,1.07161
1574095166.6400259,3.49841,1.0716
1574095167.7630553,3.4985,1.0716
1574095168.8751009,3.49863,1.0716
1574095169.9729793,3.4988,1.07162
1574095171.094397,3.49888,1.07163
1574095172.2143483,3.49903,1.07161
1574095173.3298464,3.49915,1.0716
1574095174.4388635,3.49926,1.0716
1574095175.5563977,3.49939,1.0716
1574095176.6773942,3.4995,1.07162
1574095177.7946935,3.49964,1.07161
1574095178.9092982,3.49974,1.0716
1574095180.0250974,3.49987,1.07161
1574095181.139697,3.49998,1.07161
1574095182.2627132,3.50012,1.07162
1574095183.3741367,3.50023,1.07161
1574095184.4878666,3.50033,1.07163
1574095185.6003413,3.50042,1.0716
1574095186.7055132,3.50051,1.07162
1574095187.8229628,3.50066,1.07161
1574095188.9339685,3.50073,1.07161
1574095190.0462005,3.50086,1.07162
1574095191.1582203,3.50095,1.07161
1574095192.271372,3.50108,1.07161
1574095193.384357,3.50116,1.0716
1574095194.4996362,3.50127,1.07161
1574095195.6273339,3.50137,1.07161
1574095196.7443736,3.5015,1.07162
1574095197.8685453,3.5016,1.07162
1574095198.982487,3.50168,1.07161
1574095200.108635,3.50181,1.0716
1574095201.218866,3.50194,1.07163
1574095202.3302324,3.50204,1.07163
1574095203.4680367,3.50213,1.0716
1574095204.5837448,3.50224,1.07161
1574095205.6940389,3.50237,1.07161
1574095206.8087142,3.50243,1.0716
1574095207.9280214,3.50255,1.07161
1574095209.036169,3.50262,1.0716
1574095210.1406112,3.50274,1.07161
1574095211.2580032,3.50284,1.07161
1574095212.372419,3.50293,1.07161
1574095213.4848664,3.50305,1.07161
1574095214.6077595,3.50312,1.07161
1574095215.7262383,3.50319,1.0716
1574095216.8205698,3.50333,1.07162
1574095217.9368098,3.50343,1.07161
1574095219.054342,3.50354,1.0716
1574095220.163598,3.50361,1.07162
1574095221.2764378,3.50369,1.07162
1574095222.389855,3.50381,1.07162
1574095223.4829316,3.50388,1.0716
1574095224.5937922,3.50395,1.07161
1574095225.7056444,3.50407,1.07161
1574095226.821742,3.50413,1.07162
1574095227.9441118,3.50423,1.07161
1574095229.0598667,3.50435,1.07161
1574095230.1739433,3.50443,1.0716
1574095231.279195,3.50448,1.07161
1574095232.4170759,3.50459,1.07161
1574095233.5287945,3.50466,1.07161
1574095234.62633,3.50476,1.07162
1574095235.7483814,3.50488,1.07161
1574095236.8699489,3.50498,1.07162
1574095237.9645505,3.50505,1.07162
1574095239.0901551,3.50514,1.07162
1574095240.1976042,3.50519,1.07162
1574095241.323126,3.50532,1.07161
1574095242.6013906,3.5054,1.07162
1574095243.697874,3.50548,1.0716
1574095244.7912548,3.50557,1.07161
1574095245.9196062,3.50569,1.07161
1574095247.0819356,3.50577,1.07162
1574095248.180803,3.50585,1.07162
1574095249.2822757,3.50591,1.07162
1574095250.414523,3.50597,1.07161
1574095251.5388753,3.50606,1.07162
1574095252.6332464,3.5062,1.07161
1574095253.7506022,3.50625,1.07161
1574095254.9025152,3.50632,1.0716
1574095255.997351,3.50639,1.07162
1574095257.1272647,3.50648,1.07162
1574095258.225309,3.50656,1.07161
1574095259.3481371,3.50662,1.07161
1574095260.445191,3.50672,1.0716
1574095261.5405068,3.50681,1.07162
1574095262.651294,3.50691,1.07161
1574095263.763941,3.50696,1.07162
1574095264.8737292,3.50702,1.07161
1574095265.9837253,3.50709,1.07161
1574095267.0961337,3.50717,1.07162
1574095268.207452,3.50721,1.07162
1574095269.3208814,3.50736,1.07163
1574095270.4308748,3.50742,1.07161
1574095271.5400045,3.50748,1.0716
1574095272.6508088,3.50759,1.07162
1574095273.7623065,3.50762,1.0716
1574095274.8647375,3.50773,1.07162
1574095275.985089,3.50779,1.07162
1574095277.0955489,3.50787,1.07161
1574095278.198972,3.50793,1.07161
1574095279.3012278,3.50801,1.07161
1574095280.4106445,3.50809,1.07162
1574095281.5247302,3.50818,1.07162
1574095282.6251144,3.50826,1.07162
1574095283.7246177,3.5083,1.07162
1574095284.8253038,3.50836,1.07161
1574095285.927718,3.50848,1.07162
1574095287.0301213,3.5085,1.07162
1574095288.1467428,3.50858,1.07161
1574095289.2527382,3.50865,1.07161
1574095290.3496134,3.50873,1.07161
1574095291.4617958,3.50881,1.07161
1574095292.56762,3.50887,1.07161
1574095293.6706522,3.50895,1.07161
1574095294.7812574,3.50898,1.07162
1574095295.8807158,3.50911,1.0716
1574095296.982135,3.50916,1.0716
1574095298.0829685,3.50922,1.07162
1574095299.1900852,3.50931,1.07161
1574095300.2917047,3.50936,1.07162
1574095301.3998075,3.50944,1.0716
1574095302.512517,3.50953,1.0716
1574095303.6191647,3.50957,1.07162
1574095304.7167182,3.50966,1.07163
1574095305.8083026,3.50969,1.07161
1574095306.9174263,3.50977,1.07161
1574095308.0582464,3.50985,1.0716
1574095309.154243,3.50988,1.07161
1574095310.2444582,3.50999,1.0716
1574095311.3585322,3.51005,1.07161
1574095312.4658408,3.51011,1.0716
1574095313.5642648,3.5102,1.0716
1574095314.6655025,3.51025,1.0716
1574095315.7597733,3.51029,1.07161
1574095316.867942,3.51038,1.07161
1574095317.9820094,3.51045,1.0716
1574095319.0903537,3.51053,1.07162
1574095320.1994216,3.5106,1.0716
1574095321.307829,3.51063,1.07161
1574095322.4130166,3.51071,1.07162
1574095323.521062,3.51079,1.0716
1574095324.6273172,3.51083,1.07161
1574095325.7231042,3.51089,1.07161
1574095326.8274317,3.51094,1.07161
1574095327.92811,3.51099,1.0716
1574095329.0422807,3.51106,1.07161
1574095330.1512487,3.51113,1.07161
1574095331.258419,3.51122,1.07161
1574095332.3683844,3.51127,1.07161
1574095333.4904912,3.51133,1.0716
1574095334.5874772,3.51137,1.0716
1574095335.6995223,3.51144,1.07161
1574095336.8133533,3.51152,1.07161
1574095337.9108052,3.51157,1.07161
1574095339.0156398,3.51163,1.0716
1574095340.1116033,3.5117,1.07161
1574095341.2047167,3.51176,1.07159
1574095342.3017032,3.51182,1.07161
