Time (s),Temp (C)
1576279124.5717514,"18.8,25.0,80.0,-40.0
"
1576279664.642198,"20.2,25.0,80.0,-40.0
"
1576280204.716636,"25.0,25.0,80.0,-40.0
"
1576280744.7908473,"19.9,20.0,80.0,-40.0
"
1576281284.8679965,"14.9,15.0,80.0,-40.0
"
1576281824.941847,"9.9,10.0,80.0,-40.0
"
1576282365.0164263,"5.0,5.0,80.0,-40.0
"
1576282905.0977995,"-0.1,0.0,80.0,-40.0
"
1576283445.1757789,"-5.0,-5.0,80.0,-40.0
"
1576283985.254585,"-10.0,-10.0,80.0,-40.0
"
1576284525.3346953,"-15.1,-15.0,80.0,-40.0
"
1576285065.4140184,"-20.0,-20.0,80.0,-40.0
"
1576285605.489769,"-25.0,-25.0,80.0,-40.0
"
1576286145.565404,"-30.0,-30.0,80.0,-40.0
"
1576286685.6405842,"-30.0,-30.0,80.0,-40.0
"
1576287225.7162566,"-30.0,-30.0,80.0,-40.0
"
1576287765.7937386,"-30.0,-30.0,80.0,-40.0
"
1576288305.8680158,"-30.0,-30.0,80.0,-40.0
"
1576288845.943402,"-30.0,-30.0,80.0,-40.0
"
1576289386.0242815,"-30.0,-30.0,80.0,-40.0
"
1576289926.1019726,"-30.0,-30.0,80.0,-40.0
"
1576290466.182186,"-25.0,-25.0,80.0,-40.0
"
1576291006.261998,"-19.9,-20.0,80.0,-40.0
"
1576291546.340488,"-15.0,-15.0,80.0,-40.0
"
1576292086.418358,"-10.0,-10.0,80.0,-40.0
"
1576292626.493861,"-5.0,-5.0,80.0,-40.0
"
1576293166.5685754,"-0.0,0.0,80.0,-40.0
"
1576293706.645646,"5.0,5.0,80.0,-40.0
"
1576294246.720741,"10.0,10.0,80.0,-40.0
"
1576294786.8175137,"15.0,15.0,80.0,-40.0
"
1576295326.8925884,"20.1,20.0,80.0,-40.0
"
1576295866.969664,"25.1,25.0,80.0,-40.0
"
1576296407.0466478,"30.1,30.0,80.0,-40.0
"
1576296947.122186,"35.1,35.0,80.0,-40.0
"
1576297487.1975849,"40.1,40.0,80.0,-40.0
"
1576298027.2747033,"45.1,45.0,80.0,-40.0
"
1576298567.351477,"50.1,50.0,80.0,-40.0
"
1576299107.4283404,"55.1,55.0,80.0,-40.0
"
1576299647.5047941,"60.1,60.0,80.0,-40.0
"
1576300187.5779715,"65.1,65.0,80.0,-40.0
"
1576300727.6496327,"70.1,70.0,80.0,-40.0
"
1576301267.72283,"70.0,70.0,80.0,-40.0
"
1576301807.7956183,"70.0,70.0,80.0,-40.0
"
1576302347.8688848,"70.0,70.0,80.0,-40.0
"
1576302887.9397073,"70.0,70.0,80.0,-40.0
"
1576303428.0127232,"70.0,70.0,80.0,-40.0
"
1576303968.08963,"70.0,70.0,80.0,-40.0
"
1576304508.166577,"70.0,70.0,80.0,-40.0
"
1576305048.241536,"65.1,65.0,80.0,-40.0
"
1576305588.3367379,"59.9,60.0,80.0,-40.0
"
1576306128.4130864,"55.1,55.0,80.0,-40.0
"
1576306668.4880044,"50.0,50.0,80.0,-40.0
"
1576307208.564512,"45.0,45.0,80.0,-40.0
"
1576307748.641856,"40.0,40.0,80.0,-40.0
"
1576308288.718886,"35.0,35.0,80.0,-40.0
"
1576308828.7925422,"30.0,30.0,80.0,-40.0
"
1576309368.868555,"24.9,25.0,80.0,-40.0
"
1576309908.9452348,"20.1,20.0,80.0,-40.0
"
1576310449.0214868,"15.0,15.0,80.0,-40.0
"
1576310989.0955772,"10.0,10.0,80.0,-40.0
"
1576311529.169771,"5.0,5.0,80.0,-40.0
"
1576312069.24545,"-0.0,0.0,80.0,-40.0
"
1576312609.3237817,"-5.1,-5.0,80.0,-40.0
"
1576313149.4022164,"-10.0,-10.0,80.0,-40.0
"
1576313689.480916,"-15.0,-15.0,80.0,-40.0
"
1576314229.5614324,"-20.1,-20.0,80.0,-40.0
"
1576314769.6359699,"-25.0,-25.0,80.0,-40.0
"
1576315309.7112405,"-30.0,-30.0,80.0,-40.0
"
1576315849.7863533,"-30.0,-30.0,80.0,-40.0
"
1576316389.8620858,"-30.0,-30.0,80.0,-40.0
"
1576316929.937809,"-30.0,-30.0,80.0,-40.0
"
1576317470.0128334,"-30.0,-30.0,80.0,-40.0
"
1576318010.0885868,"-30.0,-30.0,80.0,-40.0
"
1576318550.1675782,"-30.0,-30.0,80.0,-40.0
"
1576319090.2444963,"-30.0,-30.0,80.0,-40.0
"
1576319630.323492,"-24.9,-25.0,80.0,-40.0
"
1576320170.4039388,"-19.9,-20.0,80.0,-40.0
"
1576320710.482028,"-15.0,-15.0,80.0,-40.0
"
1576321250.5598044,"-10.0,-10.0,80.0,-40.0
"
1576321790.6356199,"-5.1,-5.0,80.0,-40.0
"
1576322330.708907,"-0.0,0.0,80.0,-40.0
"
1576322870.8049748,"5.0,5.0,80.0,-40.0
"
1576323410.8816173,"10.0,10.0,80.0,-40.0
"
1576323950.9761627,"15.1,15.0,80.0,-40.0
"
1576324491.0531113,"20.1,20.0,80.0,-40.0
"
1576325031.1313386,"25.0,25.0,80.0,-40.0
"
1576325571.2083247,"30.1,30.0,80.0,-40.0
"
1576326111.2856524,"35.1,35.0,80.0,-40.0
"
1576326651.362245,"40.1,40.0,80.0,-40.0
"
1576327191.4378579,"45.1,45.0,80.0,-40.0
"
1576327731.5154505,"50.1,50.0,80.0,-40.0
"
1576328271.5936422,"55.1,55.0,80.0,-40.0
"
1576328811.670789,"60.1,60.0,80.0,-40.0
"
1576329351.7441196,"65.1,65.0,80.0,-40.0
"
1576329891.8172038,"70.1,70.0,80.0,-40.0
"
1576330431.8887043,"70.0,70.0,80.0,-40.0
"
1576330971.9602091,"70.0,70.0,80.0,-40.0
"
1576331512.0348954,"70.0,70.0,80.0,-40.0
"
1576332052.1083584,"70.0,70.0,80.0,-40.0
"
1576332592.179863,"70.0,70.0,80.0,-40.0
"
1576333132.254969,"70.0,70.0,80.0,-40.0
"
1576333672.3315585,"70.0,70.0,80.0,-40.0
"
1576334212.408389,"65.2,65.0,80.0,-40.0
"
1576334752.4852955,"59.9,60.0,80.0,-40.0
"
1576335292.5626302,"55.0,55.0,80.0,-40.0
"
1576335832.639572,"50.0,50.0,80.0,-40.0
"
1576336372.7177036,"45.0,45.0,80.0,-40.0
"
1576336912.795056,"40.0,40.0,80.0,-40.0
"
1576337452.8907206,"35.0,35.0,80.0,-40.0
"
1576337992.9885864,"30.0,30.0,80.0,-40.0
"
1576338533.0646374,"25.0,25.0,80.0,-40.0
"
1576339073.1406848,"20.1,20.0,80.0,-40.0
"
1576339613.2183385,"15.0,15.0,80.0,-40.0
"
1576340153.2934208,"10.0,10.0,80.0,-40.0
"
1576340693.3675747,"4.9,5.0,80.0,-40.0
"
1576341233.4443812,"-0.0,0.0,80.0,-40.0
"
1576341773.5237684,"-5.1,-5.0,80.0,-40.0
"
1576342313.6040947,"-10.0,-10.0,80.0,-40.0
"
1576342853.6835074,"-15.1,-15.0,80.0,-40.0
"
1576343393.7611265,"-20.1,-20.0,80.0,-40.0
"
1576343933.8364615,"-25.0,-25.0,80.0,-40.0
"
1576344473.9103663,"-30.0,-30.0,80.0,-40.0
"
1576345013.984892,"-30.0,-30.0,80.0,-40.0
"
1576345554.0595727,"-29.9,-30.0,80.0,-40.0
"
1576346094.133832,"-30.0,-30.0,80.0,-40.0
"
1576346634.2095823,"-30.0,-30.0,80.0,-40.0
"
1576347174.285426,"-30.0,-30.0,80.0,-40.0
"
1576347714.3648582,"-30.0,-30.0,80.0,-40.0
"
1576348254.4444642,"-30.0,-30.0,80.0,-40.0
"
1576348794.5238223,"-25.0,-25.0,80.0,-40.0
"
1576349334.60302,"-19.9,-20.0,80.0,-40.0
"
1576349874.68162,"-15.0,-15.0,80.0,-40.0
"
1576350414.7599125,"-10.0,-10.0,80.0,-40.0
"
1576350954.8348289,"-5.0,-5.0,80.0,-40.0
"
1576351494.9104464,"0.1,0.0,80.0,-40.0
"
1576352034.9870093,"5.0,5.0,80.0,-40.0
"
1576352575.0622284,"10.0,10.0,80.0,-40.0
"
1576353115.1352987,"15.0,15.0,80.0,-40.0
"
1576353655.2121742,"20.1,20.0,80.0,-40.0
"
1576354195.2890875,"25.0,25.0,80.0,-40.0
"
1576354735.3661647,"30.0,30.0,80.0,-40.0
"
1576355275.44331,"35.1,35.0,80.0,-40.0
"
1576355815.5210476,"40.1,40.0,80.0,-40.0
"
1576356355.597476,"45.1,45.0,80.0,-40.0
"
1576356895.6757073,"50.1,50.0,80.0,-40.0
"
1576357435.7528496,"55.1,55.0,80.0,-40.0
"
1576357975.8275073,"60.1,60.0,80.0,-40.0
"
1576358515.8995738,"65.1,65.0,80.0,-40.0
"
1576359055.9705784,"70.1,70.0,80.0,-40.0
"
1576359596.0419908,"70.0,70.0,80.0,-40.0
"
1576360136.1168692,"70.0,70.0,80.0,-40.0
"
1576360676.1900165,"70.0,70.0,80.0,-40.0
"
1576361216.263507,"70.0,70.0,80.0,-40.0
"
1576361756.3349361,"70.0,70.0,80.0,-40.0
"
1576362296.4118474,"70.0,70.0,80.0,-40.0
"
1576362836.5055513,"70.0,70.0,80.0,-40.0
"
1576363376.5827553,"65.1,65.0,80.0,-40.0
"
1576363916.658228,"59.9,60.0,80.0,-40.0
"
1576364456.732837,"55.0,55.0,80.0,-40.0
"
1576364996.8297656,"50.0,50.0,80.0,-40.0
"
1576365536.907577,"45.0,45.0,80.0,-40.0
"
1576366076.983783,"40.0,40.0,80.0,-40.0
"
1576366617.0596957,"35.1,35.0,80.0,-40.0
"
1576367157.135012,"30.0,30.0,80.0,-40.0
"
1576367697.2115421,"25.0,25.0,80.0,-40.0
"
1576368237.288891,"19.9,20.0,80.0,-40.0
"
1576368777.366,"15.1,15.0,80.0,-40.0
"
1576369317.4409,"10.0,10.0,80.0,-40.0
"
1576369857.514468,"5.1,5.0,80.0,-40.0
"
1576370397.5911598,"0.1,0.0,80.0,-40.0
"
1576370937.6692212,"-5.0,-5.0,80.0,-40.0
"
1576371477.7469542,"-10.1,-10.0,80.0,-40.0
"
1576372017.8264287,"-15.0,-15.0,80.0,-40.0
"
1576372557.905796,"-20.1,-20.0,80.0,-40.0
"
1576373097.9797542,"-25.0,-25.0,80.0,-40.0
"
1576373638.0548563,"-30.0,-30.0,80.0,-40.0
"
1576374178.1288614,"-30.0,-30.0,80.0,-40.0
"
1576374718.2043471,"-30.0,-30.0,80.0,-40.0
"
1576375258.2766285,"-30.0,-30.0,80.0,-40.0
"
1576375798.3751087,"-30.0,-30.0,80.0,-40.0
"
1576376338.4695785,"-30.0,-30.0,80.0,-40.0
"
1576376878.5477092,"-30.0,-30.0,80.0,-40.0
"
1576377418.6278975,"-30.0,-30.0,80.0,-40.0
"
1576377958.7051125,"-24.9,-25.0,80.0,-40.0
"
1576378498.7836487,"-20.0,-20.0,80.0,-40.0
"
1576379038.8616855,"-14.9,-15.0,80.0,-40.0
"
1576379578.9377608,"-10.1,-10.0,80.0,-40.0
"
1576380119.0316854,"-5.1,-5.0,80.0,-40.0
"
1576380659.1078978,"-0.0,0.0,80.0,-40.0
"
1576381199.1836655,"5.1,5.0,80.0,-40.0
"
1576381739.2582295,"10.1,10.0,80.0,-40.0
"
1576382279.33283,"15.1,15.0,80.0,-40.0
"
1576382819.4095652,"20.1,20.0,80.0,-40.0
"
1576383359.4856844,"25.0,25.0,80.0,-40.0
"
1576383899.5632107,"30.0,30.0,80.0,-40.0
"
1576384439.6575766,"35.0,35.0,80.0,-40.0
"
1576384979.733646,"40.1,40.0,80.0,-40.0
"
1576385519.8110118,"45.1,45.0,80.0,-40.0
"
1576386059.8860512,"50.1,50.0,80.0,-40.0
"
1576386599.962393,"55.0,55.0,80.0,-40.0
"
1576387140.0370994,"60.1,60.0,80.0,-40.0
"
1576387680.107175,"65.1,65.0,80.0,-40.0
"
1576388220.180164,"70.1,70.0,80.0,-40.0
"
1576388760.2513998,"70.0,70.0,80.0,-40.0
"
1576389300.322747,"70.0,70.0,80.0,-40.0
"
1576389840.3947728,"70.0,70.0,80.0,-40.0
"
1576390380.4686215,"70.0,70.0,80.0,-40.0
"
1576390920.5398514,"70.0,70.0,80.0,-40.0
"
1576391460.616859,"70.0,70.0,80.0,-40.0
"
1576392000.694333,"70.0,70.0,80.0,-40.0
"
1576392540.7716677,"65.1,65.0,80.0,-40.0
"
1576393080.848578,"59.9,60.0,80.0,-40.0
"
1576393620.9252892,"55.1,55.0,80.0,-40.0
"
1576394161.003495,"50.0,50.0,80.0,-40.0
"
1576394701.0795066,"44.9,45.0,80.0,-40.0
"
1576395241.1551268,"40.0,40.0,80.0,-40.0
"
1576395781.2297652,"35.0,35.0,80.0,-40.0
"
1576396321.323071,"30.1,30.0,80.0,-40.0
"
1576396861.4249554,"25.0,25.0,80.0,-40.0
"
1576397401.5015814,"20.0,20.0,80.0,-40.0
"
1576397941.5758996,"14.9,15.0,80.0,-40.0
"
1576398481.6499083,"10.0,10.0,80.0,-40.0
"
1576399021.743726,"5.0,5.0,80.0,-40.0
"
