time,Voltage (V),Current (A)
1574279475.2873838,3.5151397,0.15
1574279476.7001393,3.4556486,0.151
1574279478.1096373,3.437781,0.15
1574279479.4874196,3.4221942,0.151
1574279480.8875356,3.407318,0.151
1574279482.2675612,3.3934326,0.151
1574279483.6512158,3.3802541,0.15
1574279485.1380682,3.3668976,0.151
1574279486.5758839,3.3548737,0.15
1574279487.9727106,3.3440315,0.151
1574279489.3746486,3.3340362,0.151
1574279490.771448,3.3249585,0.15
1574279492.1667488,3.3167757,0.15
1574279493.5754712,3.3093995,0.151
1574279494.9697845,3.3028866,0.15
1574279496.3686712,3.2970969,0.151
1574279497.7672482,3.2919522,0.15
1574279499.1677334,3.2874058,0.151
1574279500.578496,3.2833024,0.15
1574279501.9775383,3.2797001,0.15
1574279503.3841076,3.276421,0.151
1574279504.7809496,3.2734472,0.151
1574279506.1816928,3.2707424,0.151
1574279507.5861678,3.2682268,0.151
1574279508.982956,3.265946,0.15
1574279510.442322,3.2636955,0.15
1574279511.8428643,3.2617051,0.15
1574279513.24063,3.2598055,0.151
1574279514.616513,3.2580207,0.151
1574279516.0269625,3.2562928,0.151
1574279517.4277942,3.2546696,0.151
1574279518.8225827,3.2531196,0.15
1574279520.22219,3.2516101,0.15
1574279521.5994837,3.2501632,0.151
1574279522.9998727,3.2487634,0.151
1574279524.3981912,3.2474154,0.151
1574279525.7972217,3.2461052,0.151
1574279527.2033718,3.2447736,0.151
1574279528.6044981,3.2435342,0.151
1574279530.002474,3.2423161,0.151
1574279531.3963249,3.2411221,0.15
1574279532.7943661,3.2399685,0.151
1574279534.192961,3.238854,0.151
1574279535.5916648,3.2377407,0.151
1574279536.9860427,3.2366603,0.151
1574279538.3911448,3.2355988,0.151
1574279539.7679243,3.2345852,0.15
1574279541.1639254,3.2335616,0.151
1574279542.5752082,3.2325594,0.15
1574279543.9732835,3.2316102,0.151
1574279545.3763168,3.2306762,0.15
1574279546.7739394,3.2297485,0.15
1574279548.1730638,3.2288258,0.151
1574279549.5744755,3.2279158,0.15
1574279550.9713802,3.2270222,0.15
1574279552.379321,3.2261336,0.15
1574279553.776458,3.2252602,0.151
1574279555.1752222,3.2244082,0.151
1574279556.6127467,3.223565,0.15
1574279558.0088704,3.2227686,0.151
1574279559.4198482,3.2219217,0.151
1574279560.818393,3.221105,0.151
1574279562.2187514,3.2203073,0.151
1574279563.5961974,3.2195601,0.15
1574279565.0116148,3.2188255,0.151
1574279566.4061103,3.2180758,0.151
1574279567.8069842,3.2173349,0.15
1574279569.2065506,3.2165801,0.15
1574279570.5850406,3.2158682,0.15
1574279571.9850276,3.2151916,0.15
1574279573.3876138,3.2144772,0.151
1574279574.785112,3.2137767,0.15
1574279576.1827304,3.2131116,0.151
1574279577.5728672,3.2124464,0.15
1574279578.9689739,3.211761,0.151
1574279580.3691053,3.2110857,0.151
1574279581.7703288,3.2104382,0.151
1574279583.1695058,3.2097907,0.151
1574279584.5788348,3.2091432,0.15
1574279585.9590466,3.2085197,0.15
1574279587.354967,3.2079202,0.15
1574279588.7530735,3.2073042,0.151
1574279590.155145,3.2066744,0.151
1574279591.5571108,3.2061102,0.151
1574279592.9550085,3.2055207,0.151
1574279594.355007,3.2049338,0.15
1574279595.7518702,3.204381,0.151
1574279597.1496558,3.2038155,0.15
1574279598.5512142,3.2032564,0.151
1574279599.9501147,3.2026682,0.15
1574279601.346499,3.2021583,0.151
1574279602.7490373,3.2016067,0.15
1574279604.1464953,3.2010437,0.151
1574279605.5453312,3.2004997,0.151
1574279606.9436975,3.1999721,0.15
1574279608.3385775,3.1994395,0.151
1574279609.7362158,3.1989283,0.15
1574279611.1366198,3.1984121,0.15
1574279612.535717,3.1978984,0.15
1574279613.9332068,3.1973544,0.151
1574279615.335974,3.1968406,0.15
1574279616.732733,3.1963736,0.151
1574279618.1314335,3.1958763,0.15
1574279619.5320215,3.1953702,0.151
1574279620.929142,3.1948918,0.15
1574279622.3891237,3.1944046,0.151
1574279623.7952726,3.1939098,0.15
1574279625.193259,3.1934176,0.15
1574279626.5886614,3.192967,0.15
1574279627.9885929,3.1925214,0.151
1574279629.386068,3.1920443,0.151
1574279630.7833161,3.1916051,0.151
1574279632.182512,3.1911583,0.151
1574279633.5929136,3.1906837,0.151
1574279634.9889958,3.1902583,0.151
1574279636.3873155,3.1898494,0.151
1574279637.7848017,3.1894127,0.15
1574279639.1829545,3.1889785,0.151
1574279640.5935392,3.1885607,0.15
1574279641.9902642,3.1881164,0.151
1574279643.39054,3.1876935,0.151
1574279644.7898636,3.1872581,0.151
1574279646.1878197,3.1868416,0.15
1574279647.5953083,3.1864415,0.15
1574279649.0518165,3.1860502,0.15
1574279650.4323132,3.18564,0.151
1574279651.8454459,3.1852449,0.15
1574279653.2470093,3.1848448,0.151
1574279654.6237524,3.1844459,0.151
1574279656.0256493,3.1840244,0.15
1574279657.4334733,3.1836507,0.15
1574279658.8295653,3.1832569,0.151
1574279660.2277272,3.1828619,0.151
1574279661.6049502,3.1825047,0.151
1574279663.0208812,3.1820957,0.151
1574279664.4269774,3.1817108,0.15
1574279665.8225605,3.1813359,0.15
1574279667.2189934,3.1809749,0.15
1574279668.5957563,3.180653,0.151
1574279670.0021143,3.1802895,0.15
1574279671.3997724,3.1799349,0.15
1574279672.8175192,3.1795789,0.151
1574279674.2191992,3.1792167,0.15
1574279675.596726,3.1788595,0.151
1574279676.9942129,3.1785187,0.15
1574279678.3957813,3.1781627,0.151
1574279679.7942321,3.1778257,0.151
1574279681.19312,3.17749,0.15
1574279682.5935974,3.1771378,0.151
1574279683.989655,3.1767869,0.15
1574279685.3871582,3.176479,0.15
1574279686.785685,3.176142,0.151
1574279688.191674,3.1757999,0.15
1574279689.5860484,3.1754629,0.151
1574279690.9916177,3.1751941,0.15
1574279692.3869164,3.1748495,0.15
1574279693.7856522,3.1745339,0.15
1574279695.1823814,3.174231,0.151
1574279696.5898197,3.1739281,0.15
1574279698.043324,3.1735848,0.15
1574279699.4429605,3.173273,0.151
